CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location Point1
50078372,NAMASTE,Queens,25811,HILLSIDE AVE,11004,7183432800,Indian,07/18/2022,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,0,,,10/09/2024,Cycle Inspection / Initial Inspection,40.736990011596,-73.709925481755,413,23,157902,4541338,4087700002,QN44,
50147003,ALL'ANTICO VINAIO,Manhattan,89,7 AVENUE SOUTH,10014,9179701038,Sandwiches,05/23/2024,Violations were cited in the following area(s).,10E,"Accurate thermometer not provided or properly located in refrigerated, cold storage or hot holding equipment",Not Critical,35,,,10/09/2024,Pre-permit (Operational) / Initial Inspection,40.732715302966,-74.003276278698,102,03,007300,1010189,1005910033,MN23,
50101749,BEER STREET SOUTH,Brooklyn,550,VANDERBILT AVENUE,11238,6463880902,American,05/31/2024,Violations were cited in the following area(s).,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,24,,,10/09/2024,Cycle Inspection / Initial Inspection,40.68030221866,-73.967922847847,308,35,016300,3418187,3011297501,BK64,
40551807,"DUNKIN', BASKIN ROBBINS",Queens,3602,31 STREET,11106,7183831000,Donuts,11/03/2022,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,24,,,10/09/2024,Cycle Inspection / Initial Inspection,40.756312662713,-73.929975311835,401,26,005100,4007868,4005990033,QN68,
41291373,MATHILDE,Brooklyn,676,5 AVENUE,11215,7187880989,American,03/06/2024,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,13,A,03/06/2024,10/09/2024,Cycle Inspection / Re-inspection,40.661776504042,-73.992985867824,307,38,014500,3009265,3006400036,BK32,
50080912,J AND C RESTAURANT,Brooklyn,2187,CLARENDON ROAD,11226,3472591141,Caribbean,01/22/2024,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,71,,,10/09/2024,Cycle Inspection / Initial Inspection,40.642741792861,-73.956889491579,314,40,079200,3118887,3051650047,BK95,
50109337,NEW PIONEER CHINESE RESTAURANT,Bronx,223,WEST  231 STREET,10463,9172073715,Chinese,01/04/2022,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,32,,,10/09/2024,Pre-permit (Operational) / Initial Inspection,40.87927061935,-73.905482822807,208,11,028900,2083162,2057040050,BX29,
41302121,BARNES & NOBLE CAFE,Manhattan,97,WARREN STREET,10007,2125875389,Coffee/Tea,05/19/2023,Violations were cited in the following area(s).,09E,Wash hands sign not posted near or above hand washing sink.,Not Critical,31,C,05/19/2023,10/09/2024,Cycle Inspection / Re-inspection,40.715839929218,-74.011684107468,101,01,002100,1087170,1001427501,MN24,
50050603,HOME DELI & CATERING,Queens,7135,73RD PL,11385,7186284005,Sandwiches,07/13/2022,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,07/13/2022,10/09/2024,Cycle Inspection / Initial Inspection,40.704402185414,-73.876268575037,405,30,063301,4092639,4038110034,QN19,
50108652,HEALTHY IN DYCKMAN,Manhattan,4734,BROADWAY,10040,6466829711,"Juice, Smoothies, Fruit Salads",11/22/2021,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,32,,,10/09/2024,Pre-permit (Operational) / Initial Inspection,40.864945932668,-73.928327535618,112,10,028700,1064225,1021750039,MN35,
50127142,JERSEY MIKE'S 34083,Manhattan,30,VANDAM STREET,10013,9089107567,Sandwiches,06/20/2023,Violations were cited in the following area(s).,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,8,A,06/20/2023,10/09/2024,Pre-permit (Operational) / Initial Inspection,40.726358363178,-74.005014968398,102,03,003700,1007818,1005050014,MN24,
50146223,CORP,Manhattan,1372,BROADWAY,10018,9173928018,,01/01/1900,,,,Not Applicable,,,,10/09/2024,,40.752262863231,-73.98745407546,105,04,010900,1080609,1008130023,MN17,
50071576,RICHARD'S HALL AND LOUNGE,Brooklyn,9404,AVENUE L,11236,7189757550,Caribbean,11/07/2022,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,19,,,10/09/2024,Cycle Inspection / Initial Inspection,40.637266587047,-73.897449811104,318,46,101000,3232709,3082590133,BK50,
40849849,FAMOUS BEN'S PIZZA OF SOHO,Manhattan,177,SPRING STREET,10012,2129664494,Pizza,07/11/2024,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,22,,,10/09/2024,Cycle Inspection / Initial Inspection,40.724832355221,-74.002511034367,102,01,004900,1007739,1005020044,MN24,
41396650,STAND 216B DELTA SUITE,Bronx,1,EAST  161 STREET,10451,9172843260,American,09/27/2024,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,09/27/2024,10/09/2024,Cycle Inspection / Initial Inspection,40.829028434834,-73.928496459645,204,16,006300,2114490,2024930001,BX63,
50113307,CHRIS'S KITCHEN,Manhattan,1490,MADISON AVENUE,10029,6466660095,American,06/16/2022,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,24,,,10/09/2024,Pre-permit (Operational) / Compliance Inspection,40.791140923285,-73.951314509501,111,08,016800,1051493,1016080017,MN33,
50150097,BIG JOHN'S PIZZA & RESTAURANT,Queens,21911,JAMAICA AVE,11428,7187856261,Pizza,09/09/2024,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical,108,,,10/09/2024,Pre-permit (Operational) / Compliance Inspection,40.718289264477,-73.735822246311,413,23,056600,4229076,4106950014,QN34,
40368313,RED FLAME DINER,Manhattan,67,WEST   44 STREET,10036,2128693965,American,04/18/2024,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,13,A,04/18/2024,10/09/2024,Cycle Inspection / Re-inspection,40.755627203336,-73.981938150269,105,04,009600,1034217,1012600001,MN17,
50012014,KENNEDY CHICKEN & PIZZA,Manhattan,2409,2 AVENUE,10035,2122892596,Chicken,02/28/2022,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,02/28/2022,10/09/2024,Cycle Inspection / Re-inspection,40.80160918578,-73.934348548843,111,08,019400,1054647,1017880026,MN34,
50005601,CONGEE VILLAGE,Manhattan,100,ALLEN STREET,10002,2129411818,Chinese,05/12/2022,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,26,,,10/09/2024,Cycle Inspection / Initial Inspection,40.718672742481,-73.990631391866,103,01,001800,1005472,1004140054,MN27,
50043707,DRAGON GARDEN,Queens,8618,ROCKAWAY BEACH BLVD,11693,7189451808,Chinese,06/24/2024,Violations were cited in the following area(s).,06A,Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required. Jewelry worn on hands or arms. Fingernail polish worn or fingernails not kept clean and trimmed.,Critical,28,,,10/09/2024,Cycle Inspection / Initial Inspection,40.587531569631,-73.811506513311,414,32,094202,4303412,4161200001,QN12,
41708320,CATSKILL BAGEL CO.,Brooklyn,1416,CORTELYOU ROAD,11226,7182825049,Bagels/Pretzels,08/24/2021,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,51,,,10/09/2024,Cycle Inspection / Initial Inspection,40.640913808874,-73.965066459437,314,40,052000,3118678,3051570008,BK42,
50117351,MELODY'S PIANO BAR,Manhattan,1020,LEXINGTON AVENUE,10021,6465592808,American,03/30/2023,Violations were cited in the following area(s).,10G,"Dishwashing and ware washing:  Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,10,A,03/30/2023,10/09/2024,Pre-permit (Operational) / Initial Inspection,40.770957237352,-73.961824512961,108,04,012800,1042876,1014070158,MN40,
50064481,TUNG SUM BAKERY,Brooklyn,3924,9 AVENUE,11232,9174557883,Bakery Products/Desserts,12/07/2022,Establishment re-opened by DOHMH.,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,11,C,12/07/2022,10/09/2024,Cycle Inspection / Reopening Inspection,40.645763577646,-73.995293807971,312,38,009000,3017945,3009160043,BK34,
50107234,GYRO QILA,Queens,10503,CROSSBAY BLVD,11417,7184271387,Chicken,08/21/2024,Violations were cited in the following area(s).,10A,"Toilet facility not maintained or provided with toilet paper, waste receptacle or self-closing door.",Not Critical,53,Z,08/21/2024,10/09/2024,Cycle Inspection / Re-inspection,40.680028370473,-73.844546974437,410,32,008600,4438535,4091630051,QN56,
50094832,POKE ZONE,Brooklyn,67 1/2,6 AVENUE,11217,7183980088,Hawaiian,02/08/2024,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,9,A,02/08/2024,10/09/2024,Cycle Inspection / Initial Inspection,40.680655206416,-73.974520575821,308,35,016100,3028036,3011430013,BK64,
50121137,LA FONDA,Manhattan,169,EAST  106 STREET,10029,2124107292,Caribbean,05/03/2023,Violations were cited in the following area(s).,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,57,,,10/09/2024,Pre-permit (Operational) / Initial Inspection,40.791926058891,-73.945510319218,111,08,017200,1052064,1016340132,MN33,
40853123,LA VERITE RESTAURANT BAR,Queens,18704,HILLSIDE AVENUE,11432,7184547479,American,06/03/2018,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,9,,,10/09/2024,Cycle Inspection / Initial Inspection,40.714733406717,-73.775083529396,412,27,048000,4212869,4099350029,QN61,
41636405,ASIAN FOOD LTD,Queens,8335,PARSONS BLVD,11432,7186583841,Filipino,06/14/2024,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,21,,,10/09/2024,Cycle Inspection / Initial Inspection,40.714872136202,-73.807581019053,408,24,045000,4314849,4068620306,QN35,
50127760,OVER THE MOON,Queens,8315,37TH AVE,11372,9292356822,Coffee/Tea,09/26/2022,Violations were cited in the following area(s).,10G,"Dishwashing and ware washing:  Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,50,,,10/09/2024,Pre-permit (Non-operational) / Initial Inspection,40.74987100359,-73.883149501513,403,25,028100,4035828,4014570034,QN28,
41600621,STUMPTOWN COFFEE,Manhattan,18,WEST   29 STREET,10001,7189025484,Coffee/Tea,10/06/2022,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,33,,,10/09/2024,Cycle Inspection / Initial Inspection,40.745741361596,-73.987928080057,105,04,007600,1015739,1008300054,MN17,
50123009,YOI RAMEN & TEA,Manhattan,573,2 AVENUE,10016,9173882808,Japanese,06/11/2024,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,44,,,10/09/2024,Cycle Inspection / Initial Inspection,40.74315961359,-73.976993872476,106,02,007000,1020050,1009120034,MN20,
50145663,PLAYA BOWLS,Manhattan,89,EAST   42 STREET,10017,9295697076,"Juice, Smoothies, Fruit Salads",01/23/2024,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,32,,,10/09/2024,Pre-permit (Operational) / Initial Inspection,40.752093933162,-73.977604354379,105,04,009200,1035381,1012800001,MN19,
40579607,PAUL & JIMMY'S RESTAURANT,Manhattan,123,EAST   18 STREET,10003,2124759540,Italian,07/20/2022,Violations were cited in the following area(s).,06C,"Food, supplies, and equipment not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,07/20/2022,10/09/2024,Cycle Inspection / Initial Inspection,40.736601231362,-73.987283830274,105,02,005000,1017867,1008740015,MN21,
50108265,KFC,Brooklyn,534,CONEY ISLAND AVENUE,11218,9292994550,Chicken,11/30/2021,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,33,C,11/30/2021,10/09/2024,Pre-permit (Operational) / Re-inspection,40.644409390379,-73.970293217944,312,40,049200,3404964,3053430013,BK41,
50136312,THE FANCY KOOK,Manhattan,1433,1 AVENUE,10021,9172977853,Other,08/08/2023,Violations were cited in the following area(s).,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,13,A,08/08/2023,10/09/2024,Pre-permit (Operational) / Initial Inspection,40.769549343683,-73.954731201091,108,05,013400,1044933,1014490025,MN31,
50110635,INKERMAN,Manhattan,102,THOMPSON STREET,10012,9174457992,Coffee/Tea,05/22/2024,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,05/22/2024,10/09/2024,Cycle Inspection / Initial Inspection,40.725488362673,-74.002099765004,102,01,004900,1007740,1005027501,MN24,
50113120,Charles Pan-Fried Chicken,Manhattan,340,WEST  145 STREET,10039,2122811800,Soul Food,05/03/2023,Violations were cited in the following area(s).,20-08,Failure to post or conspicuously post healthy eating information,Not Critical,,,,10/09/2024,Administrative Miscellaneous / Initial Inspection,40.823690275352,-73.943984734776,109,09,022700,1061060,1020510060,MN04,
50086495,SHOKUNIN BBQ,Brooklyn,968,60 STREET,11219,7188517888,Barbecue,04/05/2022,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,41,,,10/09/2024,Cycle Inspection / Initial Inspection,40.63331044369,-74.005973510498,312,43,011800,3425449,3057157501,BK34,
50109228,HEX AND COMPANY,Manhattan,2911,BROADWAY,10025,2124391008,American,07/11/2023,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,07/11/2023,10/09/2024,Cycle Inspection / Initial Inspection,40.806445154363,-73.965047880153,109,07,019900,1057350,1018950055,MN09,
41511548,BARNES & NOBLE CAFE,Brooklyn,267,7 AVENUE,11215,7188329066,Coffee/Tea,02/16/2024,Violations were cited in the following area(s).,10A,"Toilet facility not maintained or provided with toilet paper, waste receptacle or self-closing door.",Not Critical,13,A,02/16/2024,10/09/2024,Cycle Inspection / Initial Inspection,40.668785133032,-73.979982741628,306,39,015300,3025586,3010847501,BK37,
41523226,THE LITTLE CHINANTLA RESTAURANT,Queens,9606,43 AVENUE,11368,7182058999,Mexican,05/20/2022,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,27,,,10/09/2024,Cycle Inspection / Initial Inspection,40.745682258363,-73.867761116737,404,21,037500,4040398,4016130011,QN26,
41701618,FELICE,Manhattan,15,GOLD STREET,10038,2127855950,Italian,05/23/2022,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,31,,,10/09/2024,Cycle Inspection / Initial Inspection,40.707745991206,-74.00691799522,101,01,001502,1085948,1000680028,MN25,
50111725,KFC,Manhattan,707,LENOX AVENUE,10039,2122346968,Chicken,04/25/2024,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4,A,04/25/2024,10/09/2024,Cycle Inspection / Re-inspection,40.820691619661,-73.936053063732,110,09,023200,1060188,1020140031,MN03,
50088692,MILK BURGER,Bronx,148,BRUCKNER BOULEVARD,10454,2123601988,American,08/12/2021,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,08/12/2021,10/09/2024,Cycle Inspection / Initial Inspection,40.803691619059,-73.920049795182,201,08,001900,2000005,2022600018,BX39,
50119668,EL PARAISO RESTAURANT & SPORTS BAR,Queens,9910,37TH AVE,11368,7184572783,Mexican,04/18/2024,Violations were cited in the following area(s).,09E,Wash hands sign not posted near or above hand washing sink.,Not Critical,37,,,10/09/2024,Cycle Inspection / Initial Inspection,40.752300152442,-73.867993361509,403,21,040700,4043958,4017620005,QN26,
41217083,11 STREET CAFE,Manhattan,327,WEST   11 STREET,10014,6466924455,Coffee/Tea,05/29/2024,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,22,,,10/09/2024,Cycle Inspection / Initial Inspection,40.735630046012,-74.007476594239,102,03,007500,1078299,1006340036,MN23,
41012120,GOLDEN KRUST CARIBBEAN BAKERY & GRILL,Brooklyn,1014,NOSTRAND AVENUE,11225,7186042211,Caribbean,03/18/2024,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,12,A,03/18/2024,10/09/2024,Cycle Inspection / Initial Inspection,40.663682082472,-73.95096454498,309,40,032900,3034805,3013150042,BK60,
40557466,KENNEDY FRIED CHICKEN,Bronx,696,ALLERTON AVENUE,10467,3473468238,Chicken,06/05/2024,Violations were cited in the following area(s).,05F,"Insufficient or no hot holding, cold storage or cold holding equipment provided to maintain Time/Temperature Control for Safety Foods (TCS) at required temperatures",Critical,72,,,10/09/2024,Cycle Inspection / Initial Inspection,40.865410742505,-73.867569116686,211,15,033202,2051304,2044290035,BX07,
40365904,MEE SUM CAFE,Manhattan,26,PELL STREET,10013,2123495260,Coffee/Tea,09/30/2022,Violations were cited in the following area(s).,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical,59,C,09/30/2022,10/09/2024,Cycle Inspection / Re-inspection,40.714860627928,-73.998199974185,103,01,002900,1001782,1001630009,MN27,
50107241,BROAD NOSH BAGELS,Manhattan,2350,BROADWAY,10024,2126000933,Sandwiches/Salads/Mixed Buffet,03/22/2024,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,64,Z,03/22/2024,10/09/2024,Cycle Inspection / Re-inspection,40.788000661474,-73.976747198437,107,06,017100,1033133,1012330016,MN12,
50136757,SUPER BOWL GAO,Queens,5560,60TH ST,11378,7188941234,Chinese,07/20/2023,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,23,B,07/20/2023,10/09/2024,Pre-permit (Operational) / Re-inspection,40.725954978406,-73.906094367313,405,30,053100,4530836,4026870050,QN30,
41495114,THE NARROWS,Brooklyn,1037,FLUSHING AVENUE,11237,9176588941,American,04/26/2024,Violations were cited in the following area(s).,08B,"Garbage receptacle not pest or water resistant, with tight-fitting lids, and covered except while in active use. Garbage receptacle and cover not cleaned after emptying and prior to reuse. Garbage, refuse and other solid and liquid waste not collected, stored, removed and disposed of so as to prevent a nuisance.",Not Critical,9,A,04/26/2024,10/09/2024,Cycle Inspection / Initial Inspection,40.703901871955,-73.930831258562,301,34,045300,3070732,3030120029,BK77,
41485126,OUTBACK STEAKHOUSE,Brooklyn,1475,86 STREET,11228,7188377200,Steakhouse,11/14/2022,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests  in  establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,11,A,11/14/2022,10/09/2024,Cycle Inspection / Re-inspection,40.611555025462,-74.009753301826,311,47,017000,3165656,3063400038,BK27,
50118317,CJ CAFE,Queens,9621,ROCKAWAY BLVD,11417,5162884767,Caribbean,05/30/2023,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,27,,,10/09/2024,Cycle Inspection / Initial Inspection,40.68033525281,-73.842148667163,410,32,004002,4191235,4091690259,QN56,
50112565,ISTANBUL KEBAB HOUSE,Manhattan,712,9 AVENUE,10019,2125828282,Mediterranean,07/10/2023,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,07/10/2023,10/09/2024,Pre-permit (Operational) / Initial Inspection,40.762591605434,-73.989589160247,104,03,012700,1025165,1010390063,MN15,
41177247,EAT-A-BAGEL - BOAT SPIRIT OF AMERICA,Manhattan,12,WHITEHALL FERRY TERMINAL,10004,7182738400,Bagels/Pretzels,06/07/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4,A,06/07/2019,10/09/2024,Cycle Inspection / Initial Inspection,40.700960374254,-74.013134913601,101,01,000900,1000000,1000020001,MN25,
50064240,DAXI SICHUAN,Queens,136-20,ROOSEVELT AVENUE,11354,9175631983,Chinese,09/21/2022,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,09/21/2022,10/09/2024,Cycle Inspection / Initial Inspection,40.759777908235,-73.829235428489,407,20,085300,4113546,4050190005,QN22,
50000919,PANKO EXPRESS,Brooklyn,7802,FLATLANDS AVENUE,11236,7189688399,Chinese,12/14/2023,Violations were cited in the following area(s).,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical,19,,,10/09/2024,Cycle Inspection / Initial Inspection,40.634612754568,-73.91463620065,318,46,095600,3224809,3080150041,BK50,
50072345,TACO BELL,Brooklyn,1034,FLATBUSH AVENUE,11226,8605182577,Tex-Mex,02/04/2022,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,11,A,02/04/2022,10/09/2024,Cycle Inspection / Initial Inspection,40.64590422425,-73.958083810411,314,40,051001,3000000,3051250060,BK42,
50063311,NEW MULAN,Queens,13617,39TH AVE,11354,7188868326,Chinese,07/07/2022,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,0,,,10/09/2024,Cycle Inspection / Initial Inspection,40.760330552591,-73.82987293105,407,20,087100,4534816,4049787501,QN22,
50072427,MEET FRESH,Manhattan,37,COOPER SQUARE,10003,6463719011,Frozen Desserts,09/22/2022,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,18,,,10/09/2024,Cycle Inspection / Initial Inspection,40.728230038288,-73.990850130607,103,02,003800,1090311,1004610006,MN22,
50114424,DE ISLANDS,Queens,13858,FRANCIS LEWIS BLVD,11422,3472255828,Caribbean,08/10/2023,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,34,,,10/09/2024,Cycle Inspection / Initial Inspection,40.667459244379,-73.737304015489,413,31,063800,4284814,4132630020,QN05,
41236780,CLASSIC QUIZINE,Queens,713,BEACH   20 STREET,11691,7188683268,Caribbean,03/20/2024,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,33,C,03/20/2024,10/09/2024,Cycle Inspection / Re-inspection,40.601976882543,-73.753440163993,414,31,100802,4300872,4157500037,QN15,
50125731,DOLLAR HITS NEW YORK,Queens,3904,64TH ST,11377,9176311427,Filipino,08/26/2022,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,123,,,10/09/2024,Pre-permit (Operational) / Initial Inspection,40.746280228096,-73.899908694006,402,26,026100,4028409,4012330066,QN63,
40729264,PLAYWRIGHT IRISH PUB,Manhattan,27,WEST   35 STREET,10001,2122688868,Irish,09/26/2024,Violations were cited in the following area(s).,02C,Hot TCS food item that has been cooked and cooled is being held for service without first being reheated to 165º F or above within 2 hours.,Critical,31,,,10/09/2024,Cycle Inspection / Initial Inspection,40.74958096514,-73.985213298148,105,04,008400,1015892,1008370026,MN17,
50043772,THE HAMILTON,Manhattan,998,AMSTERDAM AVENUE,10025,9176137264,American,06/05/2024,Violations were cited in the following area(s).,10A,"Toilet facility not maintained or provided with toilet paper, waste receptacle or self-closing door.",Not Critical,10,A,06/05/2024,10/09/2024,Cycle Inspection / Initial Inspection,40.802555579027,-73.96417581741,107,07,019500,1056713,1018810032,MN09,
50129583,CENA CANTINA,Brooklyn,138,HAVEMEYER STREET,11211,9177502627,Mexican,07/21/2023,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,40,C,07/21/2023,10/09/2024,Pre-permit (Operational) / Re-inspection,40.712009107312,-73.957288193992,301,34,052300,3063006,3024080023,BK73,
50118550,CONCEPT COFFEE,Queens,4461,11TH ST,11101,6463279517,Coffee/Tea,07/31/2023,Violations were cited in the following area(s).,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,27,,,10/09/2024,Pre-permit (Operational) / Compliance Inspection,40.748198512043,-73.9497002731,402,26,000700,4000441,4000520020,QN31,
